,dow,dom,month,year,in_demand,out_demand,prev_holy,pos_holy
274,4,1,4,2015,686610551.0,686368776.0,1,2
275,5,2,4,2015,0.0,0.0,0,0
276,6,3,4,2015,0.0,0.0,0,0
277,7,4,4,2015,0.0,0.0,0,0
278,1,5,4,2015,0.0,0.0,0,0
279,2,6,4,2015,733689026.0,734203176.0,2,0
280,3,7,4,2015,535315100.0,534436525.0,0,0
281,4,8,4,2015,503465581.0,503468306.0,0,0
282,5,9,4,2015,496554211.0,497311576.0,0,0
283,6,10,4,2015,631338096.0,630195756.0,0,0
284,7,11,4,2015,0.0,0.0,0,0
285,1,12,4,2015,0.0,0.0,0,0
286,2,13,4,2015,769203641.0,769106866.0,0,0
287,3,14,4,2015,882062885.0,881879310.0,0,0
288,4,15,4,2015,632437373.0,634442618.0,0,0
289,5,16,4,2015,338703363.0,337199058.0,0,0
290,6,17,4,2015,388548519.0,388869054.0,0,0
291,7,18,4,2015,0.0,0.0,0,0
292,1,19,4,2015,0.0,0.0,0,0
293,2,20,4,2015,495615523.0,495081393.0,0,0
294,3,21,4,2015,564294576.0,564024491.0,0,0
295,4,22,4,2015,404128704.0,404579419.0,0,0
296,5,23,4,2015,429922445.0,431570620.0,0,0
297,6,24,4,2015,545983673.0,546293063.0,0,0
298,7,25,4,2015,0.0,0.0,0,0
299,1,26,4,2015,0.0,0.0,0,0
300,2,27,4,2015,508136786.0,506653901.0,0,0
301,3,28,4,2015,656641281.0,656906946.0,0,0
302,4,29,4,2015,460506384.0,460468679.0,0,0
303,5,30,4,2015,477152187.0,476382677.0,0,1
304,6,1,5,2015,0.0,0.0,0,0
305,7,2,5,2015,0.0,0.0,0,0
306,1,3,5,2015,0.0,0.0,0,0
307,2,4,5,2015,589523165.0,589552800.0,1,0
308,3,5,5,2015,740975937.0,741811757.0,0,0
309,4,6,5,2015,386820532.0,386315772.0,0,0
310,5,7,5,2015,373717147.0,372728247.0,0,0
311,6,8,5,2015,677685037.0,678395612.0,0,0
312,7,9,5,2015,0.0,0.0,0,0
313,1,10,5,2015,0.0,0.0,0,0
314,2,11,5,2015,650000205.0,650342005.0,0,1
315,3,12,5,2015,0.0,0.0,0,0
316,4,13,5,2015,586849762.0,585733937.0,1,0
317,5,14,5,2015,485637749.0,486844099.0,0,0
318,6,15,5,2015,585884510.0,586001395.0,0,0
319,7,16,5,2015,0.0,0.0,0,0
320,1,17,5,2015,0.0,0.0,0,0
321,2,18,5,2015,652322537.0,651508577.0,0,0
322,3,19,5,2015,569502461.0,571026931.0,0,0
323,4,20,5,2015,486664376.0,484870926.0,0,0
324,5,21,5,2015,420023564.0,420444444.0,0,0
325,6,22,5,2015,640750901.0,640399776.0,0,1
326,7,23,5,2015,0.0,0.0,0,0
327,1,24,5,2015,0.0,0.0,0,0
328,2,25,5,2015,0.0,0.0,0,0
329,3,26,5,2015,119961905.0,119961905.0,1,1
330,4,27,5,2015,0.0,0.0,0,0
331,5,28,5,2015,772509459.0,772868359.0,1,0
332,6,29,5,2015,618260768.0,618158843.0,0,0
333,7,30,5,2015,0.0,0.0,0,0
334,1,31,5,2015,0.0,0.0,0,0
335,2,1,6,2015,631936625.0,628040750.0,0,0
336,3,2,6,2015,582463130.0,579208115.0,0,0
337,4,3,6,2015,550776161.0,554701816.0,0,0
338,5,4,6,2015,405188023.0,398623808.0,0,0
339,6,5,6,2015,616123328.0,615185978.0,0,0
340,7,6,6,2015,0.0,0.0,0,0
341,1,7,6,2015,0.0,0.0,0,0
342,2,8,6,2015,653865692.0,657695742.0,0,0
343,3,9,6,2015,379453651.0,375986776.0,0,0
344,4,10,6,2015,442060289.0,442551089.0,0,0
345,5,11,6,2015,596518236.0,596041911.0,0,0
346,6,12,6,2015,492686255.0,502721930.0,0,0
347,7,13,6,2015,0.0,0.0,0,0
348,1,14,6,2015,0.0,0.0,0,0
349,2,15,6,2015,600064091.0,599313031.0,0,0
350,3,16,6,2015,495554915.0,494751775.0,0,0
351,4,17,6,2015,289203989.0,290378689.0,0,0
352,5,18,6,2015,367284901.0,367123951.0,0,0
353,6,19,6,2015,475131013.0,483820013.0,0,0
354,7,20,6,2015,0.0,0.0,0,0
355,1,21,6,2015,0.0,0.0,0,0
356,2,22,6,2015,458599740.0,449609290.0,0,0
357,3,23,6,2015,650088880.0,650560505.0,0,0
358,4,24,6,2015,285215834.0,287315309.0,0,0
359,5,25,6,2015,428295478.0,425278903.0,0,0
360,6,26,6,2015,441815312.0,443926712.0,0,0
361,7,27,6,2015,0.0,0.0,0,0
362,1,28,6,2015,0.0,0.0,0,0
363,2,29,6,2015,589459770.0,579161995.0,0,0
364,3,30,6,2015,1148173585.0,1151417750.0,0,0
365,4,1,7,2015,623710364.0,622584689.0,0,0
366,5,2,7,2015,394071809.0,392166484.0,0,0
367,6,3,7,2015,531207646.0,532433556.0,0,0
368,7,4,7,2015,0.0,0.0,0,0
369,1,5,7,2015,0.0,0.0,0,0
370,2,6,7,2015,874830606.0,873311431.0,0,0
371,3,7,7,2015,781909360.0,784381250.0,0,0
372,4,8,7,2015,515233431.0,512123416.0,0,1
373,5,9,7,2015,0.0,0.0,0,0
374,6,10,7,2015,767978310.0,767786150.0,1,0
375,7,11,7,2015,0.0,0.0,0,0
376,1,12,7,2015,0.0,0.0,0,0
377,2,13,7,2015,660470759.0,662335444.0,0,0
378,3,14,7,2015,500612585.0,499346530.0,0,0
379,4,15,7,2015,348194194.0,350463604.0,0,0
380,5,16,7,2015,557670462.0,556498207.0,0,0
381,6,17,7,2015,812188697.0,819919102.0,0,0
382,7,18,7,2015,0.0,0.0,0,0
383,1,19,7,2015,0.0,0.0,0,0
384,2,20,7,2015,638983984.0,639397054.0,0,0
385,3,21,7,2015,516005992.0,517805927.0,0,0
386,4,22,7,2015,382433668.0,380730623.0,0,0
387,5,23,7,2015,443706825.0,443577690.0,0,0
388,6,24,7,2015,668003527.0,677530157.0,0,0
389,7,25,7,2015,0.0,0.0,0,0
390,1,26,7,2015,0.0,0.0,0,0
391,2,27,7,2015,484428926.0,475292326.0,0,0
392,3,28,7,2015,416609902.0,419290262.0,0,0
393,4,29,7,2015,335466553.0,332877853.0,0,0
394,5,30,7,2015,542576952.0,546483077.0,0,0
395,6,31,7,2015,714846443.0,710057613.0,0,0
396,7,1,8,2015,0.0,0.0,0,0
397,1,2,8,2015,0.0,0.0,0,0
398,2,3,8,2015,629238308.0,620974178.0,0,0
399,3,4,8,2015,852600654.0,851615584.0,0,0
400,4,5,8,2015,775168088.0,776255763.0,0,0
401,5,6,8,2015,554289210.0,554347450.0,0,0
402,6,7,8,2015,704629466.0,707367351.0,0,0
403,7,8,8,2015,0.0,0.0,0,0
404,1,9,8,2015,0.0,0.0,0,0
405,2,10,8,2015,706605858.0,702229043.0,0,0
406,3,11,8,2015,504222456.0,504854206.0,0,0
407,4,12,8,2015,470633385.0,470223160.0,0,0
408,5,13,8,2015,501971739.0,505178839.0,0,0
409,6,14,8,2015,575800818.0,583342223.0,0,1
410,7,15,8,2015,0.0,0.0,0,0
411,1,16,8,2015,0.0,0.0,0,0
412,2,17,8,2015,0.0,0.0,0,0
413,3,18,8,2015,746147587.0,745272632.0,1,0
414,4,19,8,2015,448409046.0,449134686.0,0,0
415,5,20,8,2015,599762506.0,599024781.0,0,0
416,6,21,8,2015,365649471.0,365834941.0,0,0
417,7,22,8,2015,0.0,0.0,0,0
418,1,23,8,2015,0.0,0.0,0,0
419,2,24,8,2015,542621156.0,543817716.0,0,0
420,3,25,8,2015,499290615.0,498718430.0,0,0
421,4,26,8,2015,383090787.0,383088952.0,0,0
422,5,27,8,2015,438386433.0,438145558.0,0,0
423,6,28,8,2015,499273543.0,499743818.0,0,0
424,7,29,8,2015,0.0,0.0,0,0
425,1,30,8,2015,0.0,0.0,0,0
426,2,31,8,2015,779223843.0,771254418.0,0,0
427,3,1,9,2015,858732978.0,856025903.0,0,0
