,dow,dom,month,year,in_demand,out_demand,prev_holi,pos_holi
364,3,30,6,2015,3399027415.0,3243288361.0,0,0
365,4,1,7,2015,3744809455.0,4014422159.0,0,0
366,5,2,7,2015,3992874663.0,4339847316.0,0,0
367,6,3,7,2015,4286152747.0,4084711058.0,0,0
368,7,4,7,2015,0.0,0.0,0,0
369,1,5,7,2015,0.0,0.0,0,0
370,2,6,7,2015,4898309579.0,4382068488.0,0,0
371,3,7,7,2015,4521461119.0,4428103903.0,0,0
372,4,8,7,2015,5738505423.0,5653470212.0,0,1
373,5,9,7,2015,0.0,0.0,0,0
374,6,10,7,2015,6448791670.0,7197910036.0,1,0
375,7,11,7,2015,0.0,0.0,0,0
376,1,12,7,2015,0.0,0.0,0,0
377,2,13,7,2015,6915749001.0,5841376696.0,0,0
378,3,14,7,2015,4961297607.0,5132523532.0,0,0
379,4,15,7,2015,3875229948.0,4592843237.0,0,0
380,5,16,7,2015,4276027741.0,4126356519.0,0,0
381,6,17,7,2015,4403403197.0,4789129778.0,0,0
382,7,18,7,2015,0.0,0.0,0,0
383,1,19,7,2015,0.0,0.0,0,0
384,2,20,7,2015,4448037637.0,4289926366.0,0,0
385,3,21,7,2015,3297170372.0,3275197586.0,0,0
386,4,22,7,2015,2866611759.0,2950202043.0,0,0
387,5,23,7,2015,3169284896.0,3171412797.0,0,0
388,6,24,7,2015,4728980462.0,4990411702.0,0,0
389,7,25,7,2015,0.0,0.0,0,0
390,1,26,7,2015,0.0,0.0,0,0
391,2,27,7,2015,3928046186.0,3822110083.0,0,0
392,3,28,7,2015,2760594208.0,2751870768.0,0,0
393,4,29,7,2015,2513378538.0,2616736221.0,0,0
394,5,30,7,2015,2608870061.0,2652090443.0,0,0
395,6,31,7,2015,3386776119.0,3453246485.0,0,0
396,7,1,8,2015,0.0,0.0,0,0
397,1,2,8,2015,0.0,0.0,0,0
398,2,3,8,2015,5710573363.0,5331040972.0,0,0
399,3,4,8,2015,4016395468.0,4316461599.0,0,0
400,4,5,8,2015,4369092629.0,4397313585.0,0,0
401,5,6,8,2015,4203827150.0,3975526567.0,0,0
402,6,7,8,2015,5811542534.0,5806322530.0,0,0
403,7,8,8,2015,0.0,0.0,0,0
404,1,9,8,2015,0.0,0.0,0,0
405,2,10,8,2015,5714366470.0,5683013412.0,0,0
406,3,11,8,2015,4624647418.0,5151941408.0,0,0
407,4,12,8,2015,4420194642.0,4148072125.0,0,0
408,5,13,8,2015,4893231383.0,4740735504.0,0,0
409,6,14,8,2015,4641760263.0,4971418674.0,0,1
410,7,15,8,2015,0.0,0.0,0,0
411,1,16,8,2015,0.0,0.0,0,0
412,2,17,8,2015,0.0,0.0,0,0
413,3,18,8,2015,5693750655.0,5420952116.0,1,0
414,4,19,8,2015,3829426550.0,4084278739.0,0,0
415,5,20,8,2015,3728263539.0,3995970096.0,0,0
416,6,21,8,2015,4174085389.0,4098049691.0,0,0
417,7,22,8,2015,0.0,0.0,0,0
418,1,23,8,2015,0.0,0.0,0,0
419,2,24,8,2015,3808227210.0,3370509060.0,0,0
420,3,25,8,2015,3086992585.0,3278405860.0,0,0
421,4,26,8,2015,2832279391.0,2932642362.0,0,0
422,5,27,8,2015,2458710718.0,2561722421.0,0,0
423,6,28,8,2015,3036461888.0,3124527738.0,0,0
424,7,29,8,2015,0.0,0.0,0,0
425,1,30,8,2015,0.0,0.0,0,0
426,2,31,8,2015,4672425434.0,4187260009.0,0,0
427,3,1,9,2015,3478796490.0,3856605669.0,0,0
428,4,2,9,2015,4024030209.0,4263848237.0,0,0
429,5,3,9,2015,4457489837.0,3956961462.0,0,0
430,6,4,9,2015,4598283010.0,4701387111.0,0,0
431,7,5,9,2015,0.0,0.0,0,0
432,1,6,9,2015,0.0,0.0,0,0
433,2,7,9,2015,5670600875.0,5515073517.0,0,0
434,3,8,9,2015,4294370687.0,4340880303.0,0,0
435,4,9,9,2015,4631045829.0,4733652250.0,0,0
436,5,10,9,2015,4825460905.0,4641595920.0,0,0
437,6,11,9,2015,6594854430.0,6697955252.0,0,0
438,7,12,9,2015,0.0,0.0,0,0
439,1,13,9,2015,0.0,0.0,0,0
440,2,14,9,2015,4566049285.0,4841412460.0,0,1
441,3,15,9,2015,0.0,0.0,0,0
442,4,16,9,2015,5518726551.0,5315487381.0,1,0
443,5,17,9,2015,3862604874.0,3805419029.0,0,0
444,6,18,9,2015,3991402544.0,4235882390.0,0,0
445,7,19,9,2015,0.0,0.0,0,0
446,1,20,9,2015,0.0,0.0,0,0
447,2,21,9,2015,4733132806.0,4636451175.0,0,0
448,3,22,9,2015,3530036098.0,3186034307.0,0,0
449,4,23,9,2015,3193957516.0,3373433124.0,0,0
450,5,24,9,2015,2795584252.0,3164413437.0,0,0
451,6,25,9,2015,3499966234.0,3484501019.0,0,0
452,7,26,9,2015,0.0,0.0,0,0
453,1,27,9,2015,0.0,0.0,0,0
454,2,28,9,2015,3663802280.0,3340422946.0,0,0
455,3,29,9,2015,2829711135.0,2749332082.0,0,0
456,4,30,9,2015,3326993921.0,3379945607.0,0,0
457,5,1,10,2015,4288979062.0,4330324291.0,0,0
458,6,2,10,2015,4638466048.0,5318060449.0,0,0
459,7,3,10,2015,0.0,0.0,0,0
460,1,4,10,2015,0.0,0.0,0,0
461,2,5,10,2015,5491588654.0,4663143827.0,0,0
462,3,6,10,2015,4408446076.0,4562224370.0,0,0
463,4,7,10,2015,4042767254.0,4150452486.0,0,0
464,5,8,10,2015,5159131866.0,4906383943.0,0,0
465,6,9,10,2015,4919739743.0,5273146101.0,0,1
466,7,10,10,2015,0.0,0.0,0,0
467,1,11,10,2015,0.0,0.0,0,0
468,2,12,10,2015,0.0,0.0,0,0
469,3,13,10,2015,5402152275.0,5073525625.0,1,0
470,4,14,10,2015,3750684284.0,3884749361.0,0,0
471,5,15,10,2015,3401018274.0,3113206064.0,0,0
472,6,16,10,2015,4472719941.0,4835017211.0,0,0
473,7,17,10,2015,0.0,0.0,0,0
474,1,18,10,2015,0.0,0.0,0,0
475,2,19,10,2015,3974715413.0,3602229823.0,0,0
476,3,20,10,2015,2723212551.0,3029244694.0,0,0
477,4,21,10,2015,2741404822.0,2671211668.0,0,0
478,5,22,10,2015,2936034263.0,2883794798.0,0,0
479,6,23,10,2015,3503479159.0,3697010561.0,0,0
480,7,24,10,2015,0.0,0.0,0,0
481,1,25,10,2015,0.0,0.0,0,0
482,2,26,10,2015,3095701817.0,2945660562.0,0,0
483,3,27,10,2015,2244071711.0,2418723586.0,0,0
484,4,28,10,2015,2840155333.0,2691686838.0,0,0
485,5,29,10,2015,3327789714.0,3069113624.0,0,0
486,6,30,10,2015,3075208669.0,3586713033.0,0,0
487,7,31,10,2015,0.0,0.0,0,0
488,1,1,11,2015,0.0,0.0,0,0
489,2,2,11,2015,5234424405.0,4996810174.0,0,0
490,3,3,11,2015,3252093560.0,3096403477.0,0,0
491,4,4,11,2015,4405945332.0,4341501505.0,0,0
492,5,5,11,2015,5113880840.0,5415350435.0,0,1
493,6,6,11,2015,0.0,0.0,0,0
494,7,7,11,2015,0.0,0.0,0,0
495,1,8,11,2015,0.0,0.0,0,0
496,2,9,11,2015,6643402136.0,6479439696.0,1,0
497,3,10,11,2015,4498770933.0,4295648007.0,0,0
498,4,11,11,2015,3547887462.0,3705522305.0,0,0
499,5,12,11,2015,4364533376.0,4571869838.0,0,0
500,6,13,11,2015,4050325357.0,4119821700.0,0,0
501,7,14,11,2015,0.0,0.0,0,0
502,1,15,11,2015,0.0,0.0,0,0
503,2,16,11,2015,4844965802.0,4526531601.0,0,0
504,3,17,11,2015,3844002983.0,3778573387.0,0,0
505,4,18,11,2015,3481074183.0,3652150528.0,0,0
506,5,19,11,2015,3311366697.0,3343478921.0,0,0
507,6,20,11,2015,3332460692.0,3642116983.0,0,0
508,7,21,11,2015,0.0,0.0,0,0
509,1,22,11,2015,0.0,0.0,0,0
510,2,23,11,2015,3619307363.0,3441414092.0,0,0
