,in_demand,out_demand
658,769500631.0,769645956.0
659,894984065.0,897255040.0
660,16000000.0,15243500.0
661,511220064.0,510071489.0
662,0.0,0.0
663,0.0,0.0
664,649879846.0,651568371.0
665,802957091.0,802069091.0
666,571633718.0,572861568.0
667,694569028.0,694119178.0
668,351592891.0,350761041.0
669,0.0,0.0
670,0.0,0.0
671,824436152.0,826339737.0
672,785154454.0,784508464.0
673,592315157.0,593247112.0
674,657102383.0,655171673.0
675,621149145.0,621879100.0
676,0.0,0.0
677,0.0,0.0
678,615039304.0,615621134.0
679,773112718.0,770927678.0
680,877487867.0,877518087.0
681,505499100.0,502565510.0
682,552293419.0,556055959.0
683,0.0,0.0
684,0.0,0.0
685,788168110.0,785026310.0
686,743374094.0,744347399.0
687,856757756.0,857598096.0
688,563138127.0,563805052.0
689,520035475.0,518008095.0
690,0.0,0.0
691,0.0,0.0
692,529922036.0,531399076.0
693,555179200.0,557600785.0
694,0.0,0.0
695,506211237.0,504055532.0
696,603172318.0,605106708.0
697,0.0,0.0
698,0.0,0.0
699,646029317.0,644709507.0
700,914086467.0,914387840.0
701,596780531.0,597057038.0
702,596692720.0,592635335.0
703,713670792.0,714819307.0
704,0.0,0.0
705,0.0,0.0
706,708053288.0,710339998.0
707,680463608.0,683498833.0
708,642366150.0,640776315.0
709,781751491.0,781128096.0
710,619165043.0,615589283.0
711,0.0,0.0
712,0.0,0.0
713,628267345.0,626142935.0
714,700083971.0,703062316.0
715,940885223.0,941177838.0
716,884235899.0,884289164.0
717,0.0,0.0
718,0.0,0.0
719,0.0,0.0
720,0.0,0.0
721,795333628.0,795410243.0
722,925621370.0,925040910.0
723,505725882.0,503597672.0
724,530778584.0,533114614.0
725,0.0,0.0
726,0.0,0.0
727,582810545.0,584067925.0
728,463139186.0,460355651.0
729,679109364.0,682319804.0
730,476200902.0,473725292.0
731,628646651.0,627485786.0
732,0.0,0.0
733,0.0,0.0
734,766195743.0,765160593.0
735,793129833.0,795773703.0
736,1448368954.0,1442518944.0
737,711237080.0,716075355.0
738,0.0,0.0
739,0.0,0.0
740,0.0,0.0
741,890382044.0,887520909.0
742,584958417.0,577483617.0
743,732760925.0,732355825.0
744,750442912.0,754972262.0
745,1189303849.0,1193194079.0
746,0.0,0.0
747,0.0,0.0
748,841732184.0,842035779.0
749,766140217.0,769224117.0
750,626880355.0,608671355.0
751,447301616.0,445983366.0
752,404177372.0,412079857.0
753,0.0,0.0
754,0.0,0.0
