,dow,dom,month,prev_holy,pos_holy,minfl
630,3,22,3,0,0,2.81
631,4,23,3,0,2,2.81
632,5,24,3,0,0,2.81
633,6,25,3,0,0,2.81
634,7,26,3,0,0,2.81
635,1,27,3,0,0,2.81
636,2,28,3,2,0,2.81
637,3,29,3,0,0,2.81
638,4,30,3,0,0,2.81
639,5,31,3,0,0,2.81
640,6,1,4,0,0,2.74
641,7,2,4,0,0,2.74
642,1,3,4,0,0,2.74
643,2,4,4,0,0,2.74
644,3,5,4,0,0,2.74
645,4,6,4,0,0,2.74
646,5,7,4,0,0,2.74
647,6,8,4,0,0,2.74
648,7,9,4,0,0,2.74
649,1,10,4,0,0,2.74
650,2,11,4,0,0,2.74
651,3,12,4,0,0,2.74
652,4,13,4,0,0,2.74
653,5,14,4,0,0,2.74
654,6,15,4,0,0,2.74
655,7,16,4,0,0,2.74
656,1,17,4,0,0,2.74
657,2,18,4,0,0,2.74
658,3,19,4,0,0,2.74
659,4,20,4,0,0,2.74
660,5,21,4,0,0,2.74
661,6,22,4,0,0,2.74
662,7,23,4,0,0,2.74
663,1,24,4,0,0,2.74
664,2,25,4,0,0,2.74
665,3,26,4,0,0,2.74
666,4,27,4,0,0,2.74
667,5,28,4,0,0,2.74
668,6,29,4,0,0,2.74
669,7,30,4,0,0,2.74
670,1,1,5,0,0,2.447
671,2,2,5,0,0,2.447
672,3,3,5,0,0,2.447
673,4,4,5,0,0,2.447
674,5,5,5,0,0,2.447
675,6,6,5,0,0,2.447
676,7,7,5,0,0,2.447
677,1,8,5,0,0,2.447
678,2,9,5,0,0,2.447
679,3,10,5,0,0,2.447
680,4,11,5,0,0,2.447
681,5,12,5,0,0,2.447
682,6,13,5,0,0,2.447
683,7,14,5,0,0,2.447
684,1,15,5,0,0,2.447
685,2,16,5,0,0,2.447
686,3,17,5,0,0,2.447
687,4,18,5,0,0,2.447
688,5,19,5,0,0,2.447
689,6,20,5,0,0,2.447
690,7,21,5,0,0,2.447
691,1,22,5,0,0,2.447
692,2,23,5,0,0,2.447
693,3,24,5,0,1,2.447
694,4,25,5,0,0,2.447
695,5,26,5,1,0,2.447
696,6,27,5,0,0,2.447
697,7,28,5,0,0,2.447
698,1,29,5,0,0,2.447
699,2,30,5,0,0,2.447
700,3,31,5,0,0,2.447
701,4,1,6,0,0,1.628
702,5,2,6,0,0,1.628
703,6,3,6,0,0,1.628
704,7,4,6,0,0,1.628
705,1,5,6,0,0,1.628
706,2,6,6,0,0,1.628
707,3,7,6,0,0,1.628
708,4,8,6,0,0,1.628
709,5,9,6,0,0,1.628
710,6,10,6,0,0,1.628
711,7,11,6,0,0,1.628
712,1,12,6,0,0,1.628
713,2,13,6,0,0,1.628
714,3,14,6,0,0,1.628
715,4,15,6,0,0,1.628
716,5,16,6,0,2,1.628
717,6,17,6,0,0,1.628
718,7,18,6,0,0,1.628
719,1,19,6,0,0,1.628
720,2,20,6,0,0,1.628
721,3,21,6,2,0,1.628
722,4,22,6,0,0,1.628
723,5,23,6,0,0,1.628
724,6,24,6,0,0,1.628
725,7,25,6,0,0,1.628
726,1,26,6,0,0,1.628
727,2,27,6,0,0,1.628
728,3,28,6,0,0,1.628
729,4,29,6,0,0,1.628
730,5,30,6,0,0,1.628
731,6,1,7,0,0,0.753
732,7,2,7,0,0,0.753
733,1,3,7,0,0,0.753
734,2,4,7,0,0,0.753
735,3,5,7,0,0,0.753
736,4,6,7,0,0,0.753
737,5,7,7,0,1,0.753
738,6,8,7,0,0,0.753
739,7,9,7,0,0,0.753
740,1,10,7,0,0,0.753
741,2,11,7,1,0,0.753
742,3,12,7,0,0,0.753
743,4,13,7,0,0,0.753
744,5,14,7,0,0,0.753
745,6,15,7,0,0,0.753
746,7,16,7,0,0,0.753
747,1,17,7,0,0,0.753
748,2,18,7,0,0,0.753
749,3,19,7,0,0,0.753
750,4,20,7,0,0,0.753
751,5,21,7,0,0,0.753
752,6,22,7,0,0,0.753
753,7,23,7,0,0,0.753
754,1,24,7,0,0,0.753
755,2,25,7,0,0,0.753
756,3,26,7,0,0,0.753
757,4,27,7,0,0,0.753
758,5,28,7,0,0,0.753
759,6,29,7,0,0,0.753
760,7,30,7,0,0,0.753
761,1,31,7,0,0,0.753
762,2,1,8,0,0,3.1180000000000003
763,3,2,8,0,0,3.1180000000000003
764,4,3,8,0,0,3.1180000000000003
765,5,4,8,0,0,3.1180000000000003
766,6,5,8,0,0,3.1180000000000003
767,7,6,8,0,0,3.1180000000000003
768,1,7,8,0,0,3.1180000000000003
769,2,8,8,0,0,3.1180000000000003
770,3,9,8,0,0,3.1180000000000003
771,4,10,8,0,0,3.1180000000000003
772,5,11,8,0,0,3.1180000000000003
773,6,12,8,0,1,3.1180000000000003
774,7,13,8,0,0,3.1180000000000003
