"fecha";"dia_semana";"dia";"mes";"anio";"entradas";"salidas"
Aug 26 2015 12:00AM;4;26;8;2015;350637972.0;349681222.0
Aug 27 2015 12:00AM;5;27;8;2015;472537785.0;471293785.0
Aug 28 2015 12:00AM;6;28;8;2015;534978694.0;536914994.0
Aug 31 2015 12:00AM;2;31;8;2015;703338813.0;703168413.0
Sep 1 2015 12:00AM;3;1;9;2015;679203829.0;679217229.0
Sep 2 2015 12:00AM;4;2;9;2015;635256505.0;636453364.0
Sep 3 2015 12:00AM;5;3;9;2015;639117666.0;638881766.0
Sep 4 2015 12:00AM;6;4;9;2015;586750989.0;586932919.0
Sep 7 2015 12:00AM;2;7;9;2015;615641771.0;615730766.0
Sep 8 2015 12:00AM;3;8;9;2015;513295374.0;513965549.0
Sep 9 2015 12:00AM;4;9;9;2015;531870239.0;531776489.0
Sep 10 2015 12:00AM;5;10;9;2015;512085635.0;511430545.0
Sep 11 2015 12:00AM;6;11;9;2015;715952744.0;716184724.0
Sep 14 2015 12:00AM;2;14;9;2015;542348562.0;540384222.0
Sep 15 2015 12:00AM;3;15;9;2015;585476098.0;586806589.0
Sep 16 2015 12:00AM;4;16;9;2015;439561763.0;439981213.0
Sep 17 2015 12:00AM;5;17;9;2015;504530042.0;504777142.0
Sep 18 2015 12:00AM;6;18;9;2015;573304047.0;572739087.0
Sep 21 2015 12:00AM;2;21;9;2015;756633841.0;756090241.0
Sep 22 2015 12:00AM;3;22;9;2015;406289271.0;407281731.0
Sep 23 2015 12:00AM;4;23;9;2015;484019118.0;483947318.0
Sep 24 2015 12:00AM;5;24;9;2015;480984907.0;480111907.0
Sep 25 2015 12:00AM;6;25;9;2015;563147231.0;564427191.0
Sep 28 2015 12:00AM;2;28;9;2015;822487873.0;821029223.0
Sep 29 2015 12:00AM;3;29;9;2015;611811452.0;613442337.0
Sep 30 2015 12:00AM;4;30;9;2015;603876738.0;603798343.0
Oct 1 2015 12:00AM;5;1;10;2015;678969703.0;677160453.0
Oct 2 2015 12:00AM;6;2;10;2015;616503959.0;615827459.0
