,DATE,CASHD,ATMD,HOLIDAY
463,2016-06-06,-10105492,3411400,0
464,2016-06-07,-4961709,2330250,0
465,2016-06-08,-5909487,5151450,0
466,2016-06-09,-6902703,4101100,0
467,2016-06-10,-6103767,5221600,0
468,2016-06-11,0,5221600,1
469,2016-06-12,0,5221600,1
470,2016-06-13,-10173908,1494100,0
471,2016-06-14,-6533413,3464300,0
472,2016-06-15,-6413707,3084000,0
473,2016-06-16,-5333446,7136150,0
474,2016-06-17,0,7136150,1
475,2016-06-18,0,7136150,1
476,2016-06-19,0,7136150,1
477,2016-06-20,0,7136150,1
478,2016-06-21,-12439084,4806100,0
479,2016-06-22,-5459236,3345650,0
480,2016-06-23,-4431146,4700800,0
481,2016-06-24,-4297625,4645550,0
482,2016-06-25,0,4645550,1
483,2016-06-26,0,4645550,1
484,2016-06-27,-8371577,1995100,0
485,2016-06-28,-4477729,951200,0
486,2016-06-29,-4664263,5147100,0
487,2016-06-30,-3440684,5205200,0
488,2016-07-01,-3190224,10576200,0
489,2016-07-02,0,10576200,1
490,2016-07-03,0,10576200,1
491,2016-07-04,-7786039,3504300,0
492,2016-07-05,-3413906,2257300,0
493,2016-07-06,-3843779,6075550,0
494,2016-07-07,-6166664,10481750,0
495,2016-07-08,0,10481750,1
496,2016-07-09,0,10481750,1
497,2016-07-10,0,10481750,1
498,2016-07-11,-14339383,1774100,0
499,2016-07-12,-6627207,3330150,0
500,2016-07-13,-5958801,3203700,0
501,2016-07-14,-6746037,2908450,0
502,2016-07-15,-7110124,4621950,0
503,2016-07-16,0,4621950,1
504,2016-07-17,0,4621950,1
505,2016-07-18,-11046178,2161000,0
506,2016-07-19,-5871373,1255300,0
507,2016-07-20,-5588563,3033550,0
508,2016-07-21,-5548759,2176850,0
509,2016-07-22,-4610588,4699650,0
510,2016-07-23,0,4699650,1
511,2016-07-24,0,4699650,1
512,2016-07-25,-8918972,1692650,0
513,2016-07-26,-5396321,1466300,0
514,2016-07-27,-3328948,836000,0
515,2016-07-28,-4264423,2166050,0
516,2016-07-29,-3294326,10971300,0
517,2016-07-30,0,10971300,1
518,2016-07-31,0,10971300,1
519,2016-08-01,-8654475,3681750,0
520,2016-08-02,-4976484,2319300,0
521,2016-08-03,-5218314,4441950,0
522,2016-08-04,-4567823,4352150,0
523,2016-08-05,-4860561,7644550,0
524,2016-08-06,0,7644550,1
525,2016-08-07,0,7644550,1
526,2016-08-08,-12033115,2708850,0
527,2016-08-09,-5017668,1690650,0
528,2016-08-10,-8767102,3115550,0
529,2016-08-11,-6957170,2331700,0
530,2016-08-12,-6400098,5112750,0
531,2016-08-13,0,5112750,1
532,2016-08-14,0,5112750,1
533,2016-08-15,0,5112750,1
534,2016-08-16,-11238586,1837400,0
535,2016-08-17,-7915962,1371950,0
536,2016-08-18,-5273532,2554550,0
