,dow,dom,month,year,in_demand,out_demand,prev_holy,pos_holy
351,2,22,6,2015,6196100.0,6196100.0,0,0
352,3,23,6,2015,4067200.0,4067200.0,0,0
353,4,24,6,2015,5100700.0,5100700.0,0,0
354,5,25,6,2015,2610100.0,2610100.0,0,0
355,6,26,6,2015,5236830.0,5236830.0,0,0
356,7,27,6,2015,0.0,0.0,0,0
357,1,28,6,2015,0.0,0.0,0,0
358,2,29,6,2015,4240000.0,4240000.0,0,0
359,3,30,6,2015,4906400.0,4906400.0,0,0
360,4,1,7,2015,6094100.0,6094100.0,0,0
361,5,2,7,2015,7905600.0,7905600.0,0,0
362,6,3,7,2015,5634200.0,5634200.0,0,0
363,7,4,7,2015,0.0,0.0,0,0
364,1,5,7,2015,0.0,0.0,0,0
365,2,6,7,2015,10201000.0,10201000.0,0,0
366,3,7,7,2015,12512000.0,12512000.0,0,0
367,4,8,7,2015,8975387.0,8975387.0,0,1
368,5,9,7,2015,0.0,0.0,0,0
369,6,10,7,2015,6172975.0,6172975.0,1,0
370,7,11,7,2015,0.0,0.0,0,0
371,1,12,7,2015,0.0,0.0,0,0
372,2,13,7,2015,4658200.0,4658200.0,0,0
373,3,14,7,2015,5691200.0,5691200.0,0,0
374,4,15,7,2015,4429788.0,4429788.0,0,0
375,5,16,7,2015,6395000.0,6395000.0,0,0
376,6,17,7,2015,6224742.0,6224742.0,0,0
377,7,18,7,2015,0.0,0.0,0,0
378,1,19,7,2015,0.0,0.0,0,0
379,2,20,7,2015,2884000.0,2884000.0,0,0
380,3,21,7,2015,9768600.0,9768600.0,0,0
381,4,22,7,2015,2458100.0,2458100.0,0,0
382,5,23,7,2015,7881000.0,7881000.0,0,0
383,6,24,7,2015,5753041.0,5753041.0,0,0
384,7,25,7,2015,0.0,0.0,0,0
385,1,26,7,2015,0.0,0.0,0,0
386,2,27,7,2015,4662400.0,4662400.0,0,0
387,3,28,7,2015,5427600.0,5427600.0,0,0
388,4,29,7,2015,3845300.0,3845300.0,0,0
389,5,30,7,2015,3685800.0,3685800.0,0,0
390,6,31,7,2015,3926700.0,3926700.0,0,0
391,7,1,8,2015,0.0,0.0,0,0
392,1,2,8,2015,0.0,0.0,0,0
393,2,3,8,2015,11340700.0,11340700.0,0,0
394,3,4,8,2015,7869000.0,7869000.0,0,0
395,4,5,8,2015,4556400.0,4556400.0,0,0
396,5,6,8,2015,10350991.0,10350991.0,0,0
397,6,7,8,2015,11195155.0,11195155.0,0,0
398,7,8,8,2015,0.0,0.0,0,0
399,1,9,8,2015,0.0,0.0,0,0
400,2,10,8,2015,9236700.0,9236700.0,0,0
401,3,11,8,2015,9459700.0,9459700.0,0,0
402,4,12,8,2015,6705900.0,6705900.0,0,0
403,5,13,8,2015,6257800.0,6257800.0,0,0
404,6,14,8,2015,8777500.0,8777500.0,0,1
405,7,15,8,2015,0.0,0.0,0,0
406,1,16,8,2015,0.0,0.0,0,0
407,2,17,8,2015,0.0,0.0,0,0
408,3,18,8,2015,6191900.0,6191900.0,1,0
409,4,19,8,2015,5173300.0,5173300.0,0,0
410,5,20,8,2015,6154200.0,6154200.0,0,0
411,6,21,8,2015,5360166.0,5360166.0,0,0
412,7,22,8,2015,0.0,0.0,0,0
413,1,23,8,2015,0.0,0.0,0,0
414,2,24,8,2015,6551090.0,6551090.0,0,0
415,3,25,8,2015,5540900.0,5540900.0,0,0
416,4,26,8,2015,5522900.0,5522900.0,0,0
417,5,27,8,2015,3922600.0,3922600.0,0,0
418,6,28,8,2015,4648100.0,4648100.0,0,0
419,7,29,8,2015,0.0,0.0,0,0
420,1,30,8,2015,0.0,0.0,0,0
421,2,31,8,2015,4671900.0,4671900.0,0,0
422,3,1,9,2015,12272300.0,12272300.0,0,0
423,4,2,9,2015,12581166.0,12581166.0,0,0
424,5,3,9,2015,11732800.0,11732800.0,0,0
425,6,4,9,2015,16603789.0,16603789.0,0,0
426,7,5,9,2015,0.0,0.0,0,0
427,1,6,9,2015,0.0,0.0,0,0
428,2,7,9,2015,8224500.0,8224500.0,0,0
429,3,8,9,2015,12418200.0,12418200.0,0,0
430,4,9,9,2015,5382200.0,5382200.0,0,0
431,5,10,9,2015,11939700.0,11939700.0,0,0
432,6,11,9,2015,12528200.0,12528200.0,0,0
433,7,12,9,2015,0.0,0.0,0,0
434,1,13,9,2015,0.0,0.0,0,0
435,2,14,9,2015,2871900.0,2871900.0,0,1
436,3,15,9,2015,0.0,0.0,0,0
437,4,16,9,2015,4780929.0,4780929.0,1,0
438,5,17,9,2015,5208205.0,5208205.0,0,0
439,6,18,9,2015,5517100.0,5517100.0,0,0
440,7,19,9,2015,0.0,0.0,0,0
441,1,20,9,2015,0.0,0.0,0,0
442,2,21,9,2015,4739700.0,4739700.0,0,0
443,3,22,9,2015,1828200.0,1828200.0,0,0
444,4,23,9,2015,1616700.0,1616700.0,0,0
445,5,24,9,2015,4928967.0,4928967.0,0,0
446,6,25,9,2015,2141100.0,2141100.0,0,0
447,7,26,9,2015,0.0,0.0,0,0
448,1,27,9,2015,0.0,0.0,0,0
449,2,28,9,2015,2471500.0,2471500.0,0,0
450,3,29,9,2015,3267500.0,3267500.0,0,0
451,4,30,9,2015,3858591.0,3858591.0,0,0
452,5,1,10,2015,8667800.0,8667800.0,0,0
453,6,2,10,2015,6300734.0,6300734.0,0,0
454,7,3,10,2015,0.0,0.0,0,0
455,1,4,10,2015,0.0,0.0,0,0
456,2,5,10,2015,4763700.0,4763700.0,0,0
457,3,6,10,2015,7009005.0,7009005.0,0,0
458,4,7,10,2015,5575500.0,5575500.0,0,0
459,5,8,10,2015,6356957.0,6356957.0,0,0
460,6,9,10,2015,5810500.0,5810500.0,0,1
461,7,10,10,2015,0.0,0.0,0,0
462,1,11,10,2015,0.0,0.0,0,0
463,2,12,10,2015,0.0,0.0,0,0
464,3,13,10,2015,5364467.0,5364467.0,1,0
465,4,14,10,2015,5183104.0,5183104.0,0,0
466,5,15,10,2015,4089300.0,4089300.0,0,0
467,6,16,10,2015,4440700.0,4440700.0,0,0
468,7,17,10,2015,0.0,0.0,0,0
469,1,18,10,2015,0.0,0.0,0,0
470,2,19,10,2015,3473468.0,3473468.0,0,0
471,3,20,10,2015,4564100.0,4564100.0,0,0
472,4,21,10,2015,3629600.0,3629600.0,0,0
473,5,22,10,2015,2991600.0,2991600.0,0,0
474,6,23,10,2015,2591600.0,2591600.0,0,0
475,7,24,10,2015,0.0,0.0,0,0
476,1,25,10,2015,0.0,0.0,0,0
477,2,26,10,2015,2608618.0,2608618.0,0,0
478,3,27,10,2015,2954600.0,2954600.0,0,0
479,4,28,10,2015,3844300.0,3844300.0,0,0
480,5,29,10,2015,3787300.0,3787300.0,0,0
481,6,30,10,2015,4018700.0,4018700.0,0,0
482,7,31,10,2015,0.0,0.0,0,0
483,1,1,11,2015,0.0,0.0,0,0
484,2,2,11,2015,8562100.0,8562100.0,0,0
485,3,3,11,2015,10593513.0,10593513.0,0,0
486,4,4,11,2015,9887552.0,9887552.0,0,0
487,5,5,11,2015,8857100.0,8857100.0,0,1
488,6,6,11,2015,0.0,0.0,0,0
489,7,7,11,2015,0.0,0.0,0,0
490,1,8,11,2015,0.0,0.0,0,0
491,2,9,11,2015,6593300.0,6593300.0,1,0
492,3,10,11,2015,7480200.0,7480200.0,0,0
493,4,11,11,2015,7583278.0,7583278.0,0,0
494,5,12,11,2015,7080700.0,7080700.0,0,0
495,6,13,11,2015,6992100.0,6992100.0,0,0
496,7,14,11,2015,0.0,0.0,0,0
497,1,15,11,2015,0.0,0.0,0,0
498,2,16,11,2015,6621000.0,6621000.0,0,0
499,3,17,11,2015,4661000.0,4661000.0,0,0
500,4,18,11,2015,7135062.0,7135062.0,0,0
501,5,19,11,2015,4219534.0,4219534.0,0,0
502,6,20,11,2015,5634400.0,5634400.0,0,0
503,7,21,11,2015,0.0,0.0,0,0
504,1,22,11,2015,0.0,0.0,0,0
505,2,23,11,2015,5667700.0,5667700.0,0,0
506,3,24,11,2015,3426780.0,3426780.0,0,0
507,4,25,11,2015,4242800.0,4242800.0,0,0
508,5,26,11,2015,4146294.0,4146294.0,0,1
509,6,27,11,2015,0.0,0.0,0,0
510,7,28,11,2015,0.0,0.0,0,0
511,1,29,11,2015,0.0,0.0,0,0
512,2,30,11,2015,5012818.0,5012818.0,1,0
513,3,1,12,2015,4089891.0,4089891.0,0,0
514,4,2,12,2015,10291000.0,10291000.0,0,0
515,5,3,12,2015,11545300.0,11545300.0,0,0
516,6,4,12,2015,8796800.0,8796800.0,0,2
517,7,5,12,2015,0.0,0.0,0,0
518,1,6,12,2015,0.0,0.0,0,0
519,2,7,12,2015,0.0,0.0,0,0
520,3,8,12,2015,0.0,0.0,0,0
521,4,9,12,2015,8668900.0,8668900.0,2,0
522,5,10,12,2015,3462400.0,3462400.0,0,0
523,6,11,12,2015,9455500.0,9455500.0,0,0
524,7,12,12,2015,0.0,0.0,0,0
525,1,13,12,2015,0.0,0.0,0,0
526,2,14,12,2015,5173276.0,5173276.0,0,0
527,3,15,12,2015,8876132.0,8876132.0,0,0
528,4,16,12,2015,5065200.0,5065200.0,0,0
529,5,17,12,2015,699000.0,699000.0,0,0
530,6,18,12,2015,3574009.0,4574009.0,0,0
531,7,19,12,2015,0.0,0.0,0,0
532,1,20,12,2015,0.0,0.0,0,0
533,2,21,12,2015,8826774.0,8826774.0,0,0
534,3,22,12,2015,4699458.0,4699458.0,0,0
535,4,23,12,2015,7928489.0,7928489.0,0,0
536,5,24,12,2015,4065933.0,4065933.0,0,1
537,6,25,12,2015,0.0,0.0,0,0
538,7,26,12,2015,0.0,0.0,0,0
539,1,27,12,2015,0.0,0.0,0,0
540,2,28,12,2015,6715000.0,6715000.0,1,0
541,3,29,12,2015,8255426.0,8255426.0,0,0
